country_code,country_name,year,literacy,primary,secondary,tertiary,years_schooling,education_component,total_weight
ABW,Aruba,2000,0.972900009155273,,,,,0.972900009155273,0.3
ABW,,2001,,0.49800122397649804,0.594567537745969,0.17316183875634064,,0.45702734174207166,0.6
ABW,,2002,,0.5236071942496242,0.6104532771140668,0.17149118570670024,,0.47176405997407767,0.6
ABW,,2003,,0.5251260561754929,0.6212163708537092,0.18226857616318531,,0.47944931728833945,0.6
ABW,,2004,,0.5310569255568537,0.6151941271080503,0.1821172500137336,,0.47887917398407226,0.6
ABW,,2005,,0.5296700459753201,0.6046164211646181,0.2172267134198822,,0.48278686916533475,0.6
ABW,,2006,,0.5347659452500945,0.6086412939110312,0.2053624823759916,,0.48319647480695915,0.6
ABW,,2007,,0.5298673952013747,0.6474682499568722,0.20938212971270653,,0.4987464349773317,0.6
ABW,,2008,,0.5252651627754712,0.5915581363016456,0.21058365224397207,,0.47421685744516906,0.6
ABW,,2009,,0.5325505588042146,0.6043413385956741,0.2065864125757607,,0.48097234716020926,0.6
ABW,Aruba,2010,0.968199996948242,0.5434689579839697,0.5986156130282007,0.21637650376284084,,0.6458490772252697,0.9
ABW,,2011,,0.4788651060752092,0.5889445729082724,0.22719025232087658,,0.4618128371504024,0.6
ABW,,2012,,0.4677987500603616,0.6641657060940832,0.2331865123688507,,0.49096525565153454,0.6
ABW,,2013,,0.5203142408589146,,0.10275584567776958,,0.34136064292413826,0.35
ABW,,2014,,0.5264593143268798,,0.10651204841338187,,0.34648191464966643,0.35
ABW,,2015,,0.5204398147205699,,0.10038804863310989,,0.3404176292545157,0.35
ABW,,2016,,0.5138265328880776,,0.10285035156464592,,0.337693883749464,0.35
ABW,,2018,,0.4866200419633339,0.8400167021059449,,,0.68295151982034,0.45
ABW,,2019,,0.48681177257539915,0.8491025175448824,,,0.6880844086695564,0.45
ABW,,2020,,0.4830108352951056,0.8235304401925582,,,0.6721883935714681,0.45
ABW,,2021,,0.4895770854559973,0.7534498078932315,,,0.6361730423655719,0.45
ABW,,2022,,0.4607990954398685,0.8032808106659144,,,0.651066715009894,0.45
AFE,,1970,,0.2648563223086702,0.1029066174655112,0.011338388982476732,,0.13399779529247224,0.6
AFE,,1971,,0.24938679071195372,0.09839046938404486,0.010979706783412403,,0.1268698858431897,0.6
AFE,,1972,,0.25299223327603965,0.10328923844069643,0.01159123056781354,,0.13026573475092346,0.6
AFE,,1973,,0.2585686893003783,0.10438438418191537,0.011360649307399374,,0.13252321883610735,0.6
AFE,,1974,,0.2749050114548116,0.10519605445295725,0.011826792184324288,,0.13842339121975047,0.6
AFE,,1975,,0.2858434613746916,0.10855619082249011,0.01216687475967264,,0.14355461865751956,0.6
AFE,,1976,,0.2929761265825993,0.1089352081974234,0.01241173547278127,,0.14615131281132152,0.6
AFE,,1977,,0.3018185397001901,0.1118149730287958,0.012648736907879134,,0.15035793622236476,0.6
AFE,,1978,,0.3070402151378317,0.11549043604493002,0.013181720126160494,,0.1537631834295382,0.6
AFE,,1979,,0.32044149085699114,0.11924806114681927,0.013490002952593744,,0.15987302316832017,0.6
AFE,,1980,,0.3350561301373828,0.12414896911458816,0.013882825231629882,,0.1668848201514468,0.6
AFE,,1981,,0.3432683036908606,0.12825550409252773,0.01424894685102455,,0.17142479798159624,0.6
AFE,,1982,,0.3452408411542544,0.1329050086323663,0.015248913376851726,,0.17426959565911707,0.6
AFE,,1983,,0.34389028058734034,0.1362305853130273,0.015459274234156748,,0.1752576559680807,0.6
AFE,,1984,,0.33975700045334545,0.13973693485667224,0.015712416228736766,,0.17540416039857945,0.6
AFE,,1985,,0.3283055674038132,0.14369171176591752,0.01627035916356917,,0.17337432549462903,0.6
AFE,,1986,,0.3265863816915445,0.14437991804250572,0.016853802551590347,,0.1732338770527898,0.6
AFE,Africa Eastern and Southern,1987,0.568461494445801,0.3191485853486747,0.14654032289188237,0.01745452662369769,,0.3040238056888894,0.9
AFE,Africa Eastern and Southern,1988,0.5724774932861331,0.31687719637772005,0.14795524746969152,0.018109550381777313,,0.30535992409563717,0.9
AFE,Africa Eastern and Southern,1989,0.576048393249512,0.32496594403823775,0.1468284132952857,0.019034035508944794,,0.30818879492518253,0.9
AFE,Africa Eastern and Southern,1990,0.581498794555664,0.3143022920823634,0.14760455904254902,0.019161057120099682,,0.30787266123536006,0.9
AFE,Africa Eastern and Southern,1991,0.581818313598633,0.3217527211259708,0.1500342342023975,0.019952462383040753,,0.31044162912537726,0.9
AFE,Africa Eastern and Southern,1992,0.584592208862305,0.31516770552880813,0.148825435559025,0.02066730620456675,,0.3096862873165493,0.9
AFE,Africa Eastern and Southern,1993,0.58884578704834,0.3185100831169284,0.15050900272339207,0.021495790551242448,,0.31245263555713565,0.9
AFE,Africa Eastern and Southern,1994,0.5933874130249019,0.31848511149919145,0.1523990561822203,0.022549817866167474,,0.314661647703099,0.9
AFE,Africa Eastern and Southern,1995,0.598654403686523,0.3270147551046307,0.1571764304084344,0.022674318900719647,,0.3196605861823328,0.9
AFE,Africa Eastern and Southern,1996,0.603634490966797,0.32582225018880234,0.15909110459414835,0.02274397951266192,,0.32159907822581774,0.9
AFE,Africa Eastern and Southern,1997,0.6105683135986331,0.340824610557523,0.1613556767398528,0.022912520542270207,,0.327901348285998,0.9
AFE,Africa Eastern and Southern,1998,0.612734794616699,0.3422723768187742,0.16659190552336575,0.023154141127112643,,0.33044001255408095,0.9
AFE,Africa Eastern and Southern,1999,0.621533317565918,0.33728352499355985,0.16802255807259905,0.02292961955029027,,0.33262420302131185,0.9
