country_code,country_name,year,value,indicator
,High income,2000,804200.0,"Patent applications, residents"
,High income,1999,735400.0,"Patent applications, residents"
,High income,1998,706700.0,"Patent applications, residents"
,High income,1997,690700.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2020,8385.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2019,8364.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2018,8183.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2017,8651.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2016,8674.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2015,7561.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2014,7455.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2013,7662.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2012,7634.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2011,7230.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2010,6390.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2009,6468.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2008,6676.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2007,6606.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2006,6364.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2005,6517.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2004,6117.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2003,5786.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2002,5387.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2001,5155.0,"Patent applications, residents"
LCN,Latin America & Caribbean,2000,5272.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1999,4719.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1998,4271.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1997,4729.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1996,4806.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1995,4405.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1994,4321.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1993,4526.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1992,3870.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1991,4504.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1990,4580.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1989,3586.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1988,3331.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1987,3808.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1986,3132.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1985,3223.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1984,5368.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1983,5389.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1982,4378.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1981,4517.0,"Patent applications, residents"
LCN,Latin America & Caribbean,1980,4939.0,"Patent applications, residents"
,Low income,2020,600.0,"Patent applications, residents"
,Low income,2019,600.0,"Patent applications, residents"
,Low income,2018,800.0,"Patent applications, residents"
,Low income,2017,600.0,"Patent applications, residents"
,Low income,2016,600.0,"Patent applications, residents"
,Low income,2015,700.0,"Patent applications, residents"
,Low income,2014,600.0,"Patent applications, residents"
,Low income,2013,700.0,"Patent applications, residents"
,Low income,2012,9000.0,"Patent applications, residents"
,Low income,2011,8500.0,"Patent applications, residents"
,Low income,2010,8700.0,"Patent applications, residents"
,Low income,2009,8700.0,"Patent applications, residents"
,Low income,2008,8200.0,"Patent applications, residents"
,Low income,2007,7300.0,"Patent applications, residents"
,Low income,2006,6600.0,"Patent applications, residents"
,Low income,2005,6100.0,"Patent applications, residents"
,Low income,2004,400.0,"Patent applications, residents"
,Low income,2003,400.0,"Patent applications, residents"
,Low income,2002,300.0,"Patent applications, residents"
,Low income,2001,300.0,"Patent applications, residents"
,Low income,2000,400.0,"Patent applications, residents"
,Low income,1999,200.0,"Patent applications, residents"
,Low income,1998,200.0,"Patent applications, residents"
,Low income,1997,200.0,"Patent applications, residents"
,Lower middle income,2020,42400.0,"Patent applications, residents"
,Lower middle income,2019,41100.0,"Patent applications, residents"
,Lower middle income,2018,36300.0,"Patent applications, residents"
,Lower middle income,2017,38800.0,"Patent applications, residents"
,Lower middle income,2016,35100.0,"Patent applications, residents"
,Lower middle income,2015,32800.0,"Patent applications, residents"
,Lower middle income,2014,32400.0,"Patent applications, residents"
,Lower middle income,2013,28700.0,"Patent applications, residents"
,Lower middle income,2012,26100.0,"Patent applications, residents"
,Lower middle income,2011,26200.0,"Patent applications, residents"
,Lower middle income,2010,25700.0,"Patent applications, residents"
,Lower middle income,2009,11900.0,"Patent applications, residents"
,Lower middle income,2008,11800.0,"Patent applications, residents"
,Lower middle income,2007,12300.0,"Patent applications, residents"
,Lower middle income,2006,11600.0,"Patent applications, residents"
,Lower middle income,2005,10700.0,"Patent applications, residents"
,Lower middle income,2004,10200.0,"Patent applications, residents"
,Lower middle income,2003,7800.0,"Patent applications, residents"
,Lower middle income,2002,6800.0,"Patent applications, residents"
,Lower middle income,2001,12200.0,"Patent applications, residents"
,Lower middle income,2000,10200.0,"Patent applications, residents"
,Lower middle income,1999,10000.0,"Patent applications, residents"
,Lower middle income,1998,10000.0,"Patent applications, residents"
,Lower middle income,1997,9100.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2020,17557.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2019,17129.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2018,17542.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2017,20397.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2016,19220.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2015,4204.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2014,17323.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2013,14674.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2012,13483.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2011,14379.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2010,13945.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2009,14403.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2008,17775.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2007,13340.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2006,7992.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2005,6735.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2004,4936.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2003,3508.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2002,3158.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2001,2824.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",2000,3174.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1999,3265.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1998,3075.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1997,1995.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1996,2414.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1995,2350.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1994,2251.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1993,2306.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1992,2184.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1991,1802.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1990,1634.0,"Patent applications, residents"
MEA,"Middle East, North Africa, Afghanistan & Pakistan",1989,1734.0,"Patent applications, residents"
