year,h7_energy_component,h7_tech_component,h7_institutions_component,h7_computation_component,h7_composite
1810,0.0,0.0,0.1525,0.0,0.032025
1811,0.0,0.0,0.1476190476190476,0.0,0.030999999999999993
1812,0.0,0.0,0.15,0.0,0.0315
1813,0.0,0.0,0.15,0.0,0.0315
1814,0.0,0.0,0.1543478260869565,0.0,0.032413043478260864
1815,0.0,0.0,0.1266666666666666,0.0,0.026599999999999985
1816,0.0,0.0,0.1225806451612903,0.0,0.02574193548387096
1817,0.0,0.0,0.1225806451612903,0.0,0.02574193548387096
1818,0.0,0.0,0.128125,0.0,0.026906249999999996
1819,0.0,0.0,0.1333333333333333,0.0,0.027999999999999994
1820,0.0,0.0,0.1585714285714285,0.0,0.03329999999999998
1821,0.0,0.0,0.1662162162162162,0.0,0.034905405405405404
1822,0.0,0.0,0.1710526315789474,0.0,0.03592105263157895
1823,0.0,0.0,0.1684210526315789,0.0,0.03536842105263156
1824,0.0,0.0,0.1825,0.0,0.038325
1825,0.0,0.0,0.1916666666666666,0.0,0.04024999999999999
1826,0.0,0.0,0.194047619047619,0.0,0.04074999999999999
1827,0.0,0.0,0.1976744186046511,0.0,0.04151162790697673
1828,0.0,0.0,0.1953488372093023,0.0,0.04102325581395348
1829,0.0,0.0,0.1988372093023255,0.0,0.041755813953488354
1830,0.0,0.0,0.2125,0.0,0.044625
1831,0.0,0.0,0.2166666666666666,0.0,0.045499999999999985
1832,0.0,0.0,0.2244897959183673,0.0,0.04714285714285713
1833,0.0,0.0,0.2239583333333333,0.0,0.04703124999999999
1834,0.0,0.0,0.2239583333333333,0.0,0.04703124999999999
1835,0.0,0.0,0.2145833333333333,0.0,0.04506249999999999
1836,0.0,0.0,0.2229166666666666,0.0,0.046812499999999986
1837,0.0,0.0,0.2302083333333333,0.0,0.04834374999999999
1838,0.0,0.0,0.241,0.0,0.050609999999999995
1839,0.0,0.0,0.2401960784313725,0.0,0.050441176470588225
1840,0.0,0.0,0.2401960784313725,0.0,0.050441176470588225
1841,0.0,0.0001804362045244,0.2450980392156863,0.0,0.05152832782074193
1842,0.0,4.188697605031593e-05,0.2432692307692307,0.0,0.051099942293874545
1843,0.0,0.0001353271533933,0.2432692307692307,0.0,0.051129843150624306
1844,0.0,0.0004994216375229,0.2443396226415094,0.0,0.05147113567872431
1845,0.0,0.0008232401831427,0.2424528301886792,0.0,0.051178531198228294
1846,0.0,0.000865127159193,0.2432692307692307,0.0,0.05136337915248021
1847,0.0,0.0012823858821558,0.2594339622641509,0.0,0.054891495557761544
1848,0.0,0.0014386565235743,0.2990740740740741,0.0,0.06326592564309934
1849,0.0,0.001965465799284,0.3045454545454545,0.0,0.06458349451031632
1850,0.0,0.0023488927338984,0.3054545454545455,0.0,0.06489710022030204
1851,0.0,0.0024536101740242,0.3036363636363636,0.002076923076923076,0.06475648392701641
1852,0.0,0.0030674154769154,0.2916666666666666,0.004153846153846152,0.06264695756799751
1853,0.0,0.0031221907532889,0.2925925925925926,0.006230769230769228,0.06306662240857382
1854,0.0,0.0041774203422488,0.3,0.008307692307692304,0.06516754374028885
1855,0.0,0.005960838899468,0.3044642857142857,0.010384615384615381,0.06688342998629129
1856,0.0,0.0068066336081763,0.3044642857142857,0.012461538461538456,0.06736177660077025
1857,0.0,0.0065021475130413,0.3166666666666667,0.014538461538461531,0.07003453335801937
1858,0.0,0.0074574927744966,0.3112068965517241,0.016615384615384608,0.06940138442523944
1859,0.0,0.0088445960967782,0.3152542372881356,0.018692307692307685,0.07090289135070826
1860,0.0,0.0111451577044648,0.3129310344827586,0.020769230769230762,0.07135889078373112
1861,0.0,0.0062959347078705,0.3409090909090909,0.022846153846153835,0.07589022358204303
1862,0.0,0.0069322945363272,0.3472727272727273,0.024923076923076912,0.07763791467120514
1863,0.0,0.0085046671757545,0.350925925925926,0.02699999999999999,0.07911593794068589
1864,0.0,0.0099835996378387,0.3472727272727273,0.029076923076923063,0.07902971691907341
1865,0.0,0.0159959917385994,0.3518181818181818,0.03115384615384614,0.0821159201535546
1866,0.0,0.0234148196121266,0.3454545454545454,0.033230769230769217,0.08336127374441196
1867,0.0,0.0330923221172899,0.3620689655172414,0.03530769230769229,0.09015479506692267
1868,0.0,0.0317132739827103,0.3620689655172414,0.03738461538461537,0.08992119197154952
1869,0.0,0.0298621918487944,0.3681034482758621,0.039461538461538444,0.0908037793756991
1870,0.0,0.0297010880947547,0.3732758620689655,0.041538461538461524,0.09204612537865041
1871,0.0,0.0301860103944142,0.3833333333333333,0.0436153846153846,0.09452106178775099
1872,0.0,0.0282108783698877,0.4047169811320755,0.04569230769230767,0.09858727788533068
1873,0.0,0.0317036077574679,0.4075471698113208,0.04776923076923075,0.10050698321969016
1874,0.0,0.0336175203554593,0.4122641509433962,0.049846153846153825,0.10231769359647555
1875,0.0,0.0336755177069136,0.4160377358490565,0.0519230769230769,0.1033363978868219
1876,0.0,0.033332366710809,0.4056603773584905,0.05399999999999998,0.10125503659274188
1877,0.0,0.0315328377781859,0.4047169811320755,0.05607692307692305,0.10068876643444763
1878,0.0,0.0314555079762468,0.4037735849056604,0.058153846153846125,0.10067359999797228
1879,0.0,0.0311316894306271,0.4101851851851852,0.060230769230769206,0.10212410642976648
1880,0.0,0.0338736753243824,0.4324074074074074,0.06230769230769228,0.10787590089012716
1881,0.0,0.0388952793377991,0.4330188679245282,0.06438461538461536,0.10981891319070816
1882,0.0,0.0475819937556184,0.4330188679245282,0.06646153846153843,0.11280635411210264
1883,0.0,0.0520977319813506,0.436111111111111,0.0685384615384615,0.11510845372121166
1884,0.0,0.0539004829890546,0.4314814814814814,0.07061538461538458,0.11492080412914701
1885,0.0,0.0547140569469549,0.436111111111111,0.07269230769230767,0.11636106232558964
1886,0.0,0.055461578365699,0.4268518518518518,0.07476923076923074,0.11486351704283564
1887,0.0,0.054267799548265,0.4268518518518518,0.07684615384615381,0.11468920012894906
1888,0.0,0.0547398335476013,0.4333333333333333,0.07892307692307689,0.11640905442754008
1889,0.0,0.0626242512703031,0.437037037037037,0.08099999999999996,0.11991753818427475
1890,0.0,0.063070508668993,0.4509259259259259,0.08307692307692305,0.1231846995262145
1891,0.0,0.0623197651751681,0.449074074074074,0.08515384615384612,0.12276326502699395
1892,0.0,0.0624744247790462,0.45,0.0872307692307692,0.12321489285237171
1893,0.0,0.0588963104018249,0.4509259259259259,0.08930769230769227,0.12247203300379762
1894,0.0,0.0584033329144635,0.4574074074074074,0.09138461538461534,0.12388308362664541
1895,0.0,0.0618799519266397,0.4564814814814815,0.09346153846153842,0.12500884957378966
1896,0.0,0.0666035139950831,0.4518518518518518,0.0955384615384615,0.1257558595211616
1897,0.0,0.0723774725398651,0.4518518518518518,0.09761538461538458,0.12781121856318414
1898,0.0,0.0534542255903647,0.4685185185185185,0.09969230769230765,0.12546347184703635
1899,0.0,0.0615448561182372,0.4685185185185185,0.10176923076923072,0.12826016592364786
1900,0.0,0.0627305797479692,0.4675925925925925,0.1038461538461538,0.12865284534840993
1901,0.0,0.0696580411716753,0.4772727272727272,0.10499999999999994,0.1330178459022088
1902,0.0,0.0766612213597801,0.48125,0.1061538461538461,0.13620947545051423
1903,0.0,0.0782223167364245,0.4794642857142857,0.10730769230769224,0.13644941058642507
1904,0.0,0.0812494562748301,0.475,0.1084615384615384,0.13659597985409946
1905,0.0,0.0858666898656072,0.4776785714285714,0.10961538461538455,0.13875137921853276
1906,0.0,0.0881817508111574,0.4910714285714285,0.11076923076923069,0.14242008333649342
1907,0.0,0.0917389217003534,0.4758928571428571,0.11192307692307685,0.14048626263642078
1908,0.0,0.0957069071623507,0.4991228070175438,0.11307692307692299,0.14674969207332872
1909,0.0,0.1025795933096833,0.5017543859649123,0.11423076923076915,0.14961696783480716
1910,0.0,0.1007832864521409,0.5129310344827587,0.1153846153846153,0.15150463044452592
1911,0.0,0.1073514865043385,0.5271929824561403,0.11653846153846145,0.15671684815102394
1912,0.0,0.1099275355314329,0.5303571428571429,0.11769230769230761,0.15832104213928927
1913,0.0,0.1085549315470149,0.5472727272727272,0.11884615384615377,0.16154946620693286
1914,0.0,0.1080023456706588,0.5336363636363636,0.11999999999999993,0.15862438697824716
1915,0.0,0.1069777257949664,0.5351851851851852,0.12115384615384608,0.15873714575866274
1916,0.0,0.1084872679703182,0.5403846153846155,0.12230769230769226,0.1604274642120403
1917,0.0,0.1077059147632258,0.5571428571428572,0.12346153846153841,0.1638120465703861
1918,0.0,0.0912040572369417,0.5706896551724138,0.12461538461538457,0.1614916643635667
